point,SiteReference,Hectares,Dwellings,Council,PermissionDate,PlanningStatus,Address,longitude,latitude
POINT(0.216666 52.361744),BLR3213,0.44,,,2023-01-31,permissioned,Plot 1 Field House Stud Whitecross Road Wilburton Cambridgeshire CB6 3QB,0.216666,52.361744
POINT(0.127029 52.200337),20/03418/FUL | 22/04933/S73,0.03,6.0,,2023-01-25,permissioned,14-17 Regent Terrace Cambridge CB2 1AA,0.127029,52.200337
POINT(-0.125002 52.084292),22/04784/FUL,0.42,0.0,,2023-01-13,permissioned,39 New Road Guilden Morden SG8 0JN,-0.125002,52.084292
POINT(-0.202533 52.148982),S/1075/17/FL | 22/04868/S73,0.26,0.0,,2023-01-12,permissioned,"16, Little Heath, Gamlingay, SANDY, SG19 3LL",-0.202533,52.148982
POINT(0.126498 52.216191),22/04570/PRIOR,0.11,6.0,,2022-12-08,permissioned,Mayfair Court Milton Road Cambridge Cambridgeshire,0.126498,52.216191
POINT(0.136076 52.208636),18/0887/FUL | 22/02969/FUL,0.05,9.0,,2022-12-08,permissioned,73 Newmarket Road Cambridge CB5 8EG,0.136076,52.208636
POINT(0.348828 52.29212),BLR0514,0.37,,,2022-11-30,permissioned,Breach Cottage Ness Road Burwell Cambridge CB25 0DB,0.348828,52.29212
POINT(0.13548 52.21513),19/0819/OUT | 22/03584/REM,0.05,7.0,,2022-11-03,permissioned,51 - 55 Elizabeth Way Cambridge Cambridgeshire CB4 1DB,0.13548,52.21513
POINT(0.085071 52.039759),22/03455/FUL,0.8,0.0,,2022-11-02,permissioned,6 Chishill Road Heydon Cambridgeshire SG8 8PW,0.085071,52.039759
POINT(0.304474 52.40853),BLR1043,0.34,,,2022-10-12,permissioned,Dairy Farm House 18 Prickwillow Road Queen Adelaide Ely Cambridgeshire CB7 4SH,0.304474,52.40853
POINT(0.046975 52.309701),22/03191/PRIOR,0.27,1.0,,2022-09-26,permissioned,Avon Fields Haden Way Willingham Cambridge Cambridgeshire CB24 5HB,0.046975,52.309701
POINT(0.211323 52.185911),22/03530/PRIOR,0.39,11.0,,2022-09-26,permissioned,Hannah Reed And Associates Telford House 76 Cow Lane Fulbourn Cambridge Cambridgeshire CB21 5HB,0.211323,52.185911
POINT(0.41107 52.44654),BLR1833,0.47,,,2022-09-02,permissioned,Sebastapol Farm Redmere Ely Cambridgeshire CB7 4SS,0.41107,52.44654
POINT(0.01331 52.217214),21/03438/FUL,0.1,9.0,,2022-09-01,permissioned,Land At 147 St Neots Road Hardwick Cambridgeshire,0.01331,52.217214
POINT(0.145514 52.176992),22/02067/FUL,0.17,8.0,,2022-08-26,permissioned,1A Fendon Road Cambridge Cambridgeshire,0.145514,52.176992
POINT(0.098186 52.097453),S/3975/18/FL,0.74,7.0,,2022-08-24,permissioned,Rectory Farm Middle Street Thriplow Cambridgeshire,0.098186,52.097453
POINT(0.137316 52.229591),17/0927/FUL | 22/00278/FUL,0.1,9.0,,2022-07-27,permissioned,"Jenny Wren, St. Kilda Avenue, CAMBRIDGE, CB4 2QA",0.137316,52.229591
POINT(0.197207 52.389637),BLR3401,2.24,,,2022-07-08,permissioned,Land North Of 22 Marroway Lane Witchford Cambridgeshire,0.197207,52.389637
POINT(0.174649 52.18777),21/02759/FUL,0.03,48.0,,2022-07-08,permissioned,Colville Road Phase 3 Land At Colville Road And Fishers Lane High Street Cherry Hinton Cambridge Cambridgeshire CB1 9HT,0.174649,52.18777
POINT(0.111876 52.387142),BLR2601,0.65,,,2022-07-04,permissioned,121-123 High Street Sutton Ely Cambridgeshire CB6 2NR,0.111876,52.387142
POINT(-0.225338 52.146701),22/01680/FUL,0.72,0.0,,2022-07-01,permissioned,8A Potton Road The Heath Gamlingay Cambridgeshire SG19 2JH,-0.225338,52.146701
POINT(0.110112 52.242013),S/0671/17/FL | 21/02902/FUL,0.23,38.0,,2022-06-24,permissioned,"Old Station Yard, Cambridge Road, IMPINGTON, CB24 9NU",0.110112,52.242013
POINT(0.13397 52.215094),C/03/0406 | C/03/1241 | 06/0544/FUL | 18/1193/FUL,0.59,29.0,,2022-06-22,permissioned,"Land off, De Freville Avenue/, SANDY LANE, CAMBRIDGE",0.13397,52.215094
POINT(0.117196 52.167414),19/1324/FUL,0.18,8.0,,2022-06-17,permissioned,102 - 108 Shelford Road Cambridge Cambridgeshire CB2 9NF,0.117196,52.167414
POINT(0.315167 52.20829),BLR2702,1.02,,,2022-06-10,permissioned,Hare Park Stud Hare Park Six Mile Bottom Newmarket Suffolk CB8 0UZ,0.315167,52.20829
POINT(0.217463 52.187306),22/01257/FUL,0.3,0.0,,2022-05-09,permissioned,Barnsbury House Coxs Drove Fulbourn Cambridgeshire CB21 5HE,0.217463,52.187306
POINT(0.251279 52.43001),BLR1614,0.42,,,2022-05-05,permissioned,Land Rear Of 47-53 Ely Road Little Downham Cambridgeshire,0.251279,52.43001
POINT(0.200861 52.186178),S/0670/17/OL | 20/05199/REM,27.0,203.0,,2022-04-30,permissioned,"Ida Darwin Hospital, Fulbourn Old Drift, Fulbourn, Cambridge, Cambridgeshire, CB21 5EE",0.200861,52.186178
POINT(-0.036471 52.179541),22/00252/FUL,0.31,1.0,,2022-04-22,permissioned,Kingston Barns Bourn Road Kingston CB23 2NP,-0.036471,52.179541
POINT(0.035151 52.128727),22/00898/FUL,0.74,0.0,,2022-04-19,permissioned,7 Back Lane Barrington Cambridgeshire CB22 7RF,0.035151,52.128727
POINT(0.458191 52.205517),BLR3502,0.36,,,2022-04-13,permissioned,3 & 5 Kirtling Road Saxon Street Newmarket Suffolk CB8 9RR,0.458191,52.205517
POINT(0.122467 52.397263),BLR2603,36.67,,,2022-04-12,permissioned,Land Adjacent 43 Mepal Road Sutton Cambridgeshire,0.122467,52.397263
POINT(0.122467 52.397263),BLR2602,36.67,,,2022-04-12,permissioned,Land Adjacent 43 Mepal Road Sutton Cambridgeshire,0.122467,52.397263
POINT(0.139596 52.147838),21/05276/FUL,0.29,39.0,,2022-04-06,permissioned,2 Station Road Great Shelford Cambridge Cambridgeshire CB22 5LR,0.139596,52.147838
POINT(0.064349 52.267514),S/NorthstoweAAP/Phase3 | 20/02171/OUT,194.93,4000.0,,2022-03-25,permissioned,"Nothstowe Phase 3 - Land at, Oakington Barracks, Ramptoon Road, Longstanton, Cambridge CB4",0.064349,52.267514
POINT(0.463333 52.228344),BLR0608,0.31,,,2022-03-24,permissioned,The Shieling 33 Newmarket Road Cheveley Newmarket Suffolk CB8 9EQ,0.463333,52.228344
POINT(0.15275 52.365208),BLR1213,1.56,,,2022-03-16,permissioned,64 Station Road Haddenham Ely Cambridgeshire CB6 3XD,0.15275,52.365208
POINT(-0.069356 52.254095),21/05616/FUL,0.37,0.0,,2022-03-04,permissioned,5 Church Lane Elsworth Cambridge Cambridgeshire CB23 4HU,-0.069356,52.254095
POINT(0.171113 52.279096),21/04957/FUL,0.51,6.0,,2022-03-03,permissioned,Emmaus Cambridge Green End Landbeach Cambridgeshire,0.171113,52.279096
POINT(0.118585 52.179106),21/05623/FUL,0.25,0.0,,2022-03-01,permissioned,Achray Gazeley Road Cambridge CB2 9HB,0.118585,52.179106
POINT(0.099056 52.221591),21/02052/FUL,1.86,38.0,,2022-03-01,permissioned,Land South Of Wilberforce Road Cambridge Cambridgeshire,0.099056,52.221591
POINT(0.013063 52.217263),21/01345/FUL,0.1,5.0,,2022-02-04,permissioned,Newton House 147 St Neots Road Hardwick Cambridgeshire,0.013063,52.217263
POINT(-0.020368 52.21211),21/05253/REM,0.26,2.0,,2022-02-04,permissioned,Land At 87 Highfields Road Highfields Caldecote Caldecote Cambridgeshire,-0.020368,52.21211
POINT(0.002472 52.26332),21/03851/FUL,0.43,0.0,,2022-01-31,permissioned,Clare College Farm Huntingdon Road Lolworth CB23 8DN,0.002472,52.26332
POINT(0.089978 52.145149),21/04263/FUL,0.23,8.0,,2022-01-28,permissioned,180 High Street Harston CB22 7QD,0.089978,52.145149
POINT(0.018674 52.239296),21/02882/FUL,0.27,2.0,,2022-01-27,permissioned,Land At Church Farm Buildings Park Street Dry Drayton CB23 8BZ,0.018674,52.239296
POINT(0.280406 52.098718),S/0736/19/OL | 21/04745/FUL,0.28,2.0,,2021-12-24,permissioned,"41, Back Road, Linton, Cambridge, Cambridgeshire, CB21 4LG",0.280406,52.098718
POINT(-0.030765 52.090398),21/03786/FUL,0.28,0.0,,2021-12-24,permissioned,"154 Bridge Street, Whaddon, Royston, SG8 5SN",-0.030765,52.090398
POINT(0.311005 52.132213),S/4477/17/FL | 21/02724/FUL,1.24,1.0,,2021-12-23,permissioned,"97, High Street, Balsham, CAMBRIDGE, CB21 4EP",0.311005,52.132213
POINT(0.163448 52.155011),21/02851/FUL,0.61,0.0,,2021-12-07,permissioned,Chalk Hill Haverhill Road Stapleford CB22 5BX,0.163448,52.155011
POINT(0.181618 52.285826),21/03866/REM,1.93,111.0,,2021-12-03,permissioned,"Parcel 2.1, Eastern Woods Waterbeach Barracks And Airfield Site Waterbeach Cambridgeshire",0.181618,52.285826
POINT(0.154614 52.22059),21/00659/FUL,0.35,10.0,,2021-11-18,permissioned,71 - 73 Fen Road Cambridge Cambridgeshire CB4 1UN,0.154614,52.22059
POINT(0.065109 52.210672),20/02161/FUL,0.45,3.0,,2021-11-12,permissioned,Land At And To The Rear Of 24 High Street Coton CB23 7PL,0.065109,52.210672
POINT(0.375576 52.169174),BLR0302,0.51,,,2021-11-08,permissioned,Abbey Yard Brinkley Road Brinkley Suffolk,0.375576,52.169174
POINT(0.394403 52.43623),BLR1828,0.1118,,,2021-11-03,permissioned,Peacocks Farm Mildenhall Road Littleport Ely Cambridgeshire CB7 4SY,0.394403,52.43623
POINT(0.194009 52.308436),21/00033/FUL,0.33,6.0,,2021-10-22,permissioned,The Travellers Rest Ely Road Chittering Waterbeach CB25 9PH,0.194009,52.308436
POINT(0.266512 52.40212),BLR1037,0.29,,,2021-10-19,permissioned,Swimming Pool Newnham Street Ely Cambridgeshire CB7 4PQ,0.266512,52.40212
POINT(0.137755 52.217381),21/00537/FUL,0.17,4.0,,2021-10-11,permissioned,29 High Street Chesterton Cambridge CB4 1NQ,0.137755,52.217381
POINT(0.110383 52.2576),21/02290/OUT,1.04,2.0,,2021-10-08,permissioned,1 Garden Walk Histon CB24 9HH,0.110383,52.2576
POINT(-0.029113 52.194444),21/03430/PRI03O,0.18,5.0,,2021-09-16,permissioned,Burr Elm Court Main Street Caldecote Cambridgeshire,-0.029113,52.194444
POINT(0.457917 52.21982),BLR0607,0.41,,,2021-08-27,permissioned,Glebe Stud Park Road Cheveley Suffolk CB8 9DF,0.457917,52.21982
POINT(-0.076404 52.258148),21/02515/FUL,0.42,0.0,,2021-08-20,permissioned,Elm Lodge Meadow Drift Elsworth CB23 4HS,-0.076404,52.258148
POINT(0.22327 52.265991),BLR1901,0.1439,,,2021-08-10,permissioned,Frolic Farm Lode Fen Lode Cambridge CB25 9HF,0.22327,52.265991
POINT(0.179233 52.286536),21/02400/REM,1.69,89.0,,2021-07-30,permissioned,Northern Woods Waterbeach Barracks And Airfield Parcel 1 Denny End Road Waterbeach Cambridge Cambridgeshire CB25 9PA,0.179233,52.286536
POINT(0.049805 52.2995),21/01977/FUL,0.88,0.0,,2021-07-02,permissioned,Avalon Station Road Longstanton CB24 3DS,0.049805,52.2995
POINT(0.032461 52.187437),21/00397/FUL,0.27,0.0,,2021-06-10,permissioned,188 Barton Road Comberton CB23 7BU,0.032461,52.187437
POINT(0.123564 52.214203),19/1098/FUL,0.28,19.0,,2021-05-14,permissioned,121 - 125 Chesterton Road Cambridge Cambridgeshire,0.123564,52.214203
POINT(0.119954 52.186662),21/00277/FUL,0.25,0.0,,2021-04-23,permissioned,21 Trumpington Road Cambridge CB2 8AJ,0.119954,52.186662
POINT(0.196962 52.270857),20/03370/OUT,0.22,4.0,,2021-04-20,permissioned,95 Bannold Road Waterbeach CB25 9LQ,0.196962,52.270857
POINT(0.131193 52.19439),06/0552/FUL | 20/03429/FUL,0.83,156.0,,2021-04-09,permissioned,"Betjeman House Broadcasting House Botanic House and Public Houses at 106 -108, Hills Road, Cambridge, CB2",0.131193,52.19439
POINT(0.462432 52.21277),BLR0606,0.91,,,2021-03-30,permissioned,Home Office Bungalows Little Green Cheveley Suffolk,0.462432,52.21277
POINT(0.132425 52.205761),20/03912/FUL,0.07,8.0,,2021-02-25,permissioned,Land Rear Of Gibson House Paradise Street Cambridge Cambridgeshire CB1 1DJ,0.132425,52.205761
POINT(0.164388 52.35326),BLR1211,0.42,,,2021-02-18,permissioned,Perry Rise 34 Haddenham Road Wilburton Ely Cambridgeshire CB6 3RG,0.164388,52.35326
POINT(0.220104 52.183929),20/02833/FUL,0.13,5.0,,2021-02-17,permissioned,6 Pierce Lane Fulbourn CB21 5DL,0.220104,52.183929
POINT(0.022969 52.316958),20/02477/FUL,0.96,20.0,,2021-02-15,permissioned,"Land off Fen End, Over, CAMBRIDGE, CB24 5NE",0.022969,52.316958
POINT(0.146405 52.220389),20/02791/FUL,0.04,7.0,,2021-02-10,permissioned,196 Green End Road Cambridge CB4 1RL,0.146405,52.220389
POINT(-0.012695 52.218086),S/2678/19/FL | S/1847/16/FL | S/2459/19/FL | 20/01544/FUL,1.04,9.0,,2021-02-04,permissioned,Westside St Neots Road Highfields Caldecote Cambridge CB3 8AY,-0.012695,52.218086
POINT(0.087344 52.153532),S/2184/16/OL,18.04,32.0,,2021-01-29,permissioned,Former Waste Water Treatment Facility Cambridge Road Hauxton Cambridgeshire,0.087344,52.153532
POINT(0.310349 52.290916),BLR0513,0.29,,,2021-01-28,permissioned,McGowan Rutherford Factory Road Burwell Cambridge CB25 0BN,0.310349,52.290916
POINT(0.051224 52.183767),20/03949/REM,0.27,2.0,,2021-01-15,permissioned,"15, Comberton Road, Barton, Cambridge, Cambridgeshire, CB23 7BA",0.051224,52.183767
POINT(0.13303 52.192729),20/01968/FUL,0.47,1.0,,2020-12-24,permissioned,15 Royal Albert Homes Hills Road Cambridge Cambridgeshire CB2 1PP,0.13303,52.192729
POINT(0.176541 52.197735),C/LocalPlan/R47 | 18/0481/OUT,31.95,780.0,,2020-12-18,permissioned,Cambridge East Land North of Cherry Hinton,0.176541,52.197735
POINT(0.172474 52.195364),20/04306/CL2PD,0.47,33.0,,2020-12-15,permissioned,509 Coldhams Lane Cambridge CB1 3JS,0.172474,52.195364
POINT(0.346069 52.418022),BLR1039,0.13,,,2020-12-11,permissioned,1-4 Riverside Close Prickwillow Ely Cambridgeshire CB7 4UW,0.346069,52.418022
POINT(0.161014 52.268257),20/03981/FUL,0.26,1.0,,2020-12-09,permissioned,Beach Farm Green End Landbeach CB25 9FD,0.161014,52.268257
POINT(-0.121621 52.247448),20/04140/FUL,0.71,1.0,,2020-12-01,permissioned,Queen Marys Nurses Home 31 Church Lane Papworth Everard CB23 3QN,-0.121621,52.247448
POINT(0.320955 52.279064),BLR0511,0.72,1.0,,2020-11-25,permissioned,Land West Of 56 Low Road Burwell Cambs CB25 0EJ,0.320955,52.279064
POINT(0.118599 52.230153),S/4532/19/FL,1.14,56.0,,2020-11-24,permissioned,The Meadows Community Centre 1 St Catharines Road Impington Cambridge CB4 3XJ,0.118599,52.230153
POINT(0.177144 52.192409),20/03202/FUL,0.07,6.0,,2020-11-06,permissioned,523 Coldhams Lane Cambridge CB1 3JS,0.177144,52.192409
POINT(0.095971 52.210811),19/1734/FUL,0.87,35.0,,2020-10-30,permissioned,Clerk Maxwell Road Cambridge Cambridgeshire,0.095971,52.210811
POINT(0.079545 52.238653),S/4302/19/FL,0.33,9.0,,2020-10-16,permissioned,16 High Street Girton Cambridge Cambridgeshire CB3 0PU,0.079545,52.238653
POINT(-0.089347 52.117052),20/02614/FUL,0.27,1.0,,2020-10-15,permissioned,"Brickyard Farm, Lower Road, Croydon, Royston, SG8 0HA",-0.089347,52.117052
POINT(0.15361 52.158068),20/03143/FUL,0.28,1.0,,2020-10-05,permissioned,"Beechwood House, 197 Hinton Way, Great Shelford, Cambridge, Cambridgeshire, CB22 5AN",0.15361,52.158068
POINT(-0.000605 52.089117),S/3529/16/OL | 20/01974/REM,0.4,6.0,,2020-10-02,permissioned,"Scrapyard, Chiswick End, Meldreth, ROYSTON, SG8 6LZ",-0.000605,52.089117
POINT(0.09629 52.222243),20/01501/PRI030 | 20/03334/PRI030 | 20/03335/PRI030,0.32,170.0,,2020-09-24,permissioned,National Institute Of Agricultural Botany Huntingdon Road Cambridge Cambridgeshire CB3 0LE,0.09629,52.222243
POINT(0.150609 52.3495),BLR1210,0.32,,,2020-09-23,permissioned,31 Lode Way Haddenham Ely Cambridgeshire CB6 3UL,0.150609,52.3495
POINT(0.310712 52.291004),BLR0512,0.53,,,2020-07-24,permissioned,2 Priory Farm Cottages Factory Road Burwell Cambridge CB25 0BW,0.310712,52.291004
POINT(-0.12688 52.06695),20/02132/FUL,0.38,0.0,,2020-07-08,permissioned,27 Hay Street Steeple Morden Royston Cambridgeshire SG8 0PD,-0.12688,52.06695
POINT(0.110958 52.262311),20/01600/FUL,0.27,1.0,,2020-07-08,permissioned,130 Cottenham Road Histon CB24 9ET,0.110958,52.262311
POINT(0.149092 52.195082),18/1890/FUL,0.16,9.0,,2020-06-23,permissioned,Family Centre Malta Road Cambridge CB1 3LW,0.149092,52.195082
POINT(0.173512 52.187854),19/1375/FUL,0.33,8.0,,2020-06-19,permissioned,1 Rectory Terrace High Street Cherry Hinton Cambridge CB1 9HU,0.173512,52.187854
POINT(-0.196737 52.156428),S/4085/19/RM,2.92,85.0,,2020-06-18,permissioned,"Pinewood Structures Ltd, Green End Industrial Estate, Green End, GAMLINGAY, SG19 3LX",-0.196737,52.156428
POINT(-0.150357 52.160844),20/01731/FUL,0.26,0.0,,2020-06-17,permissioned,Crooked Billet Farm Fullers Hill Gamlingay SG19 3BP,-0.150357,52.160844
POINT(0.143479 52.209176),18/1679/FUL,0.06,13.0,,2020-06-12,permissioned,212-214 Newmarket Road Cambridge CB5 8JL,0.143479,52.209176
POINT(0.137024 52.229003),19/1616/FUL,0.91,43.0,,2020-05-29,permissioned,67 - 97A Campkin Road Cambridge Cambridgeshire CB4 2NP,0.137024,52.229003
POINT(0.046753 52.152355),20/01552/FUL,0.93,0.0,,2020-05-22,permissioned,Grove Farm Harlton Road Haslingfield Cambridge Cambridgeshire CB23 1JE,0.046753,52.152355
POINT(0.033558 52.169137),S/1465/19/FL,0.34,0.0,,2020-05-20,permissioned,Lordsbridge Farm Cambridge Road Harlton Cambridge Cambridgeshire CB23 7AE,0.033558,52.169137
POINT(-0.02163 52.205774),S/3652/19/FL,0.97,1.0,,2020-04-30,permissioned,Land On The North Side Of 2 East Drive Highfields Caldecote Caldecote Cambridge Cambridgeshire CB23 7NZ,-0.02163,52.205774
POINT(0.278157 52.413476),BLR1040,0.0882,,,2020-04-29,permissioned,5-8 Simeon Close Ely Cambridgeshire CB7 4RU,0.278157,52.413476
POINT(0.464481 52.179074),BLR1501,0.0997,,,2020-04-21,permissioned,165 The Street Kirtling,0.464481,52.179074
POINT(0.273017 52.42665),BLR1038,0.43,,,2020-04-08,permissioned,Site South West Of Church Farm The Hamlet Chettisham Cambridgeshire,0.273017,52.42665
POINT(0.307002 52.45786),BLR1827,0.11,6.0,,2020-04-07,permissioned,20 Wellington Street Littleport Ely Cambridgeshire CB6 1PN,0.307002,52.45786
POINT(0.221344 52.182971),S/3834/19/FL,0.27,1.0,,2020-04-03,permissioned,"Rear of The Six Bells, 9, High Street, FULBOURN, CB21 5DH",0.221344,52.182971
POINT(0.370637 52.18012),BLR0401,0.28,,,2020-03-24,permissioned,Poole Farm Cottage Westley Waterless Newmarket Suffolk CB8 0RQ,0.370637,52.18012
POINT(0.316207 52.45979),BLR1801,1.07,0.0,,2020-03-20,permissioned,Station Road Littleport Ely CB6 1JL,0.316207,52.45979
POINT(0.152112 52.197913),19/1389/TDAMIN,0.2,9.0,,2020-03-10,permissioned,Cambridge And Huntingdon Health Authority 18 Vinery Road Cambridge Cambridgeshire CB1 3DX,0.152112,52.197913
POINT(0.125193 52.160004),S/4399/19/FL,0.28,7.0,,2020-03-05,permissioned,125 Cambridge Road Great Shelford Cambridge Cambridgeshire CB22 5JJ,0.125193,52.160004
POINT(0.13433 52.403063),BLR2002,0.3466,,,2020-03-04,permissioned,"Old Granary Site Whitegate Farm, Witcham Road, Mepal, CB6 2AF",0.13433,52.403063
POINT(0.157036 52.168149),18/1671/FUL,0.58,0.0,,2020-03-03,permissioned,83 - 87 Babraham Road Cambridge Cambridgeshire CB2 4DD,0.157036,52.168149
POINT(0.131181 52.2076),19/0300/FUL,0.15,9.0,,2020-02-06,permissioned,64 Maids Causeway Cambridge Cambridgeshire CB5 8DD,0.131181,52.2076
POINT(0.150111 52.181017),19/0698/FUL,0.05,4.0,,2020-02-06,permissioned,25A Mowbray Road Cambridge CB1 7SR,0.150111,52.181017
POINT(0.110637 52.225917),19/0718/REM,0.71,26.0,,2020-02-05,permissioned,295 - 301 Histon Road Cambridge Cambridgeshire CB4 3NF,0.110637,52.225917
POINT(0.272635 52.09635),S/0163/18/FL,0.12,14.0,,2020-01-31,permissioned,"20, Cambridge Road, Linton, Cambridge, Cambridgeshire, CB21 4NN",0.272635,52.09635
POINT(0.126412 52.200591),19/1637/B1C3 | 20/1957/FUL,0.09,13.0,,2020-01-29,permissioned,Essex House 71 Regent Street Cambridge Cambridgeshire,0.126412,52.200591
POINT(0.126412 52.200591),19/1637/B1C3,0.09,13.0,,2020-01-29,permissioned,Essex House 71 Regent Street Cambridge Cambridgeshire,0.126412,52.200591
POINT(0.124097 52.213716),19/0242/FUL,0.05,8.0,,2020-01-15,permissioned,18 Chesterton Road Cambridge Cambridgeshire,0.124097,52.213716
POINT(0.17543 52.187576),19/1034/FUL,0.76,45.0,,2019-12-31,permissioned,66-80B Colville Road Cambridge Cambridgeshire CB1 9EJ,0.17543,52.187576
POINT(0.124391 52.29258),S/3703/19/FL,0.31,9.0,,2019-12-23,permissioned,"Unit F2, Broad Lane Industrial Estate, Broad Lane, Cottenham, Cambridge, Cambridgeshire, CB24 8SW",0.124391,52.29258
POINT(0.105063 52.252938),S/1793/19/FL,0.4,9.0,,2019-12-23,permissioned,"Land adjacent to School Hill, Histon, CB24 9JE",0.105063,52.252938
POINT(0.127957 52.205968),19/0560/FUL,0.09,8.0,,2019-12-23,permissioned,Land Rear Of 5-17 New Square Cambridge Cambridgeshire CB1 1EY,0.127957,52.205968
POINT(-0.209047 52.146563),S/2762/19/FL,0.67,0.0,,2019-12-20,permissioned,"Old Plantation Cottage, Heath Road, Gamlingay, Sandy, SG19 2JD",-0.209047,52.146563
POINT(0.146007 52.144674),S/2695/19/RM,0.29,1.0,,2019-12-13,permissioned,"57 to 61, London Road, Stapleford, CB22 5DG",0.146007,52.144674
POINT(0.138282 52.207337),18/0090/FUL,0.03,9.0,,2019-12-09,permissioned,63 New Street Cambridge CB1 2QT,0.138282,52.207337
POINT(0.136736 52.199524),18/1365/B1C3 | 19/1475/B1C3,0.04,1.0,,2019-12-09,permissioned,"Boltons Warehouse, 23 Tenison Road, CAMBRIDGE, CB1 2DG",0.136736,52.199524
POINT(0.134685 52.220836),19/0199/FUL,0.09,5.0,,2019-11-21,permissioned,220 Milton Road Cambridge CB4 1LQ,0.134685,52.220836
POINT(-0.01337 52.218044),S/2678/19/FL,0.34,1.0,,2019-11-16,permissioned,"Plot 1 Westside, St Neots Road, Caldecote, Cambridge, CB23 8AY",-0.01337,52.218044
POINT(0.104053 52.099255),S/2557/19/FL,0.26,0.0,,2019-11-15,permissioned,"34, Church Street, Thriplow, Royston, Cambridgeshire, SG8 7RE",0.104053,52.099255
POINT(0.159651 52.244435),S/1320/16/FL,0.22,4.0,,2019-11-13,permissioned,"26 , Butt Lane, MILTON, CB24 6DG",0.159651,52.244435
POINT(0.137611 52.217141),18/1703/FUL,0.12,8.0,,2019-11-12,permissioned,25-27 High Street Chesterton Cambridge CB4 1NQ,0.137611,52.217141
